Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment
,,,,,,Get,Set,,Remote,Local,,
FewCLUE,500,https://github.com/CLUEbenchmark/FewCLUE,N/A,Y,,Attr,Field,,,,,,Yes
LaViLa,498,https://github.com/facebookresearch/LaViLa,N/A,Y,,Attr,Attr,,,,,,Yes
rl-mpc-locomotion,494,https://github.com/silvery107/rl-mpc-locomotion,N/A,Y,,Attr,Attr,,,,,,Yes
EdiZon_CheatsConfigsAndScripts,493,https://github.com/WerWolv/EdiZon_CheatsConfigsAndScripts,N,Y,"copy.py , false positive",,,,,,,,
ccs-calendarserver,490,https://github.com/apple/ccs-calendarserver,N/A,Y,,Attr,Attr,,,,,,Yes
ccs-calendarserver,490,https://github.com/apple/ccs-calendarserver,N/A,Y,,Attr,Attr,,,,,,Yes
golem,489,https://github.com/golemhq/golem,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
OccNet-Course,488,https://github.com/Charmve/OccNet-Course,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
OccNet-Course,488,https://github.com/Charmve/OccNet-Course,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
robocorp,488,https://github.com/robocorp/robocorp,N/A,Y,,Attr,Attr,,,,,,Yes
Multi-Modality-Arena,478,https://github.com/OpenGVLab/Multi-Modality-Arena,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
Multi-Modality-Arena,478,https://github.com/OpenGVLab/Multi-Modality-Arena,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
BitBLAS,477,https://github.com/microsoft/BitBLAS,N/A,Y,,Attr,Attr,,,,,,Yes
dovpanda,475,https://github.com/dovpanda-dev/dovpanda,N/A,Y,,Attr,Attr,,,,,,Yes
dovpanda,475,https://github.com/dovpanda-dev/dovpanda,N/A,Y,,Attr,Attr,,,,,,Yes
qserve,471,https://github.com/mit-han-lab/qserve,N/A,Y,,Attr,Attr,,,,,,Yes
archai,470,https://github.com/microsoft/archai,N/A,Y,,Attr,Attr,,,,,,Yes
GoBigger,463,https://github.com/opendilab/GoBigger,N/A,Y,,Attr/Field,Field,,,,,,Yes
GoBigger,463,https://github.com/opendilab/GoBigger,N/A,Y,,Attr,Field,,,,,,Yes
cc_blender_tools,462,https://github.com/soupday/cc_blender_tools,N/A,Y,,Attr,Attr,,,,,,Yes
tuned-lens,453,https://github.com/AlignmentResearch/tuned-lens,N/A,Y,,Attr,Attr,,,,,,Yes
tuned-lens,453,https://github.com/AlignmentResearch/tuned-lens,N/A,Y,,Attr,Attr,,,,,,Yes
Sollumz,450,https://github.com/Sollumz/Sollumz,N/A,Y,,Attr,Attr,,,,,,Yes
Sollumz,450,https://github.com/Sollumz/Sollumz,N/A,Y,,Attr,Attr,,,,,,Yes
DoLa,448,https://github.com/voidism/DoLa,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
riven,442,https://github.com/rivenmedia/riven,Y,Y,,Attr/Field,Attr/Field,Function,"Application, all keys are not under attacker's control in all the class pollution function usage.",,,,
dbx,442,https://github.com/databrickslabs/dbx,N,Y,only one layer.,N,N,,,,,,
riven,442,https://github.com/rivenmedia/riven,Y,Y,duplicated with Zhengyu's 100-1k codeql dataset.,Attr/Field,Attr/Field,Function,,,,,
dbx,442,https://github.com/databrickslabs/dbx,N,Y,"simply set, no recursive operation, no type check",,,,,,,,
SimpleParsing,442,https://github.com/lebrice/SimpleParsing,N/A,N,,Attr,Attr,,"https://github.com/lebrice/SimpleParsing/blob/4388893b768495090dcd8dc7e399372d8e5829be/simple_parsing/utils.py#L701
Pypi 540,000 downloads: multi attribute set func",,,,
UniSpeech,441,https://github.com/microsoft/UniSpeech,N/A,Y,,Attr,Attr,,,,,,Yes
SSDNeRF,440,https://github.com/Lakonik/SSDNeRF,N/A,Y,,Attr,Attr,,,,,,Yes
AudioClassification-Pytorch,439,https://github.com/yeyupiaoling/AudioClassification-Pytorch,N/A,Y,,Attr,Attr,,,,,,Yes
model-soups,436,https://github.com/mlfoundations/model-soups,N/A,Y,,Attr,Attr,,,,,,Yes
recipy,436,https://github.com/recipy/recipy,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
aliyun-odps-python-sdk,433,https://github.com/aliyun/aliyun-odps-python-sdk,N/A,Y,,Attr,Attr,,import_tornado,,,,Yes
