Application,Downloads,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment,New
azure-eventgrid,2562341,https://pypi.org/project/azure-eventgrid,N/A,Y,,Attr,Attr,,,,,,Yes
azure-search-documents,2507285,https://pypi.org/project/azure-search-documents,N/A,Y,,Attr,Attr,,,,,,Yes
newrelic,2382150,https://pypi.org/project/newrelic,N/A,Y,,Attr,Attr,,import_aiohttp|import_starlette|import_sanic|import_django|import_cherrypy|import_flask|import_tornado|import_falcon|import_pyramid,,,,Yes
fastcore,2231120,https://pypi.org/project/fastcore,N/A,Y,,Attr/Field,Attr,,,,,,Yes
tf-keras,2218507,https://pypi.org/project/tf-keras,Y,Y,,Attr/Field,Attr/Field,Function,,,,,Yes
azure-cli-core,2147843,https://pypi.org/project/azure-cli-core,Y,Y,,Attr,Attr,,,,,,No
azure-cli-core,2147843,https://pypi.org/project/azure-cli-core,Y,Y,,Attr/Field,Attr/Field,Local,,,,,No
azure-cli-core,2147843,https://pypi.org/project/azure-cli-core,N/A,Y,,Attr/Field,Attr,,,,,,No
etils,2048504,https://pypi.org/project/etils,N/A,Y,,Attr,Attr,,import_flask,,,,Yes
azure-mgmt-subscription,2041571,https://pypi.org/project/azure-mgmt-subscription,N/A,Y,,Attr,Attr,,,,,,Yes
conan,1947743,https://pypi.org/project/conan,N/A,Y,,Attr,Attr,,,,,,No
azure-mgmt-reservations,1769810,https://pypi.org/project/azure-mgmt-reservations,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-apimanagement,1732890,https://pypi.org/project/azure-mgmt-apimanagement,N/A,Y,,Attr,Attr,,,,,,Yes
google-genai,1699489,https://pypi.org/project/google-genai,N/A,Y,,Attr/Field,Field,,,,,,Yes
google-genai,1699489,https://pypi.org/project/google-genai,N/A,Y,,Attr,Field,,,,,,Yes
azure-mgmt-privatedns,1696347,https://pypi.org/project/azure-mgmt-privatedns,N/A,Y,,Attr,Attr,,,,,,Yes
azure-cli,1669488,https://pypi.org/project/azure-cli,N/A,Y,,Attr,Attr,,rule_instantiation,,,,Yes
azure-mgmt-security,1582500,https://pypi.org/project/azure-mgmt-security,N/A,Y,,Attr,Attr,,,,,,Yes
flax,1578643,https://pypi.org/project/flax,Y,Y,,Attr/Field,Attr/Field,Function,,,,,Yes
azure-schemaregistry,1577752,https://pypi.org/project/azure-schemaregistry,N/A,Y,,Attr,Attr,,,,,,Yes
azure-ai-documentintelligence,1515414,https://pypi.org/project/azure-ai-documentintelligence,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-appconfiguration,1504258,https://pypi.org/project/azure-mgmt-appconfiguration,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-powerbiembedded,1498700,https://pypi.org/project/azure-mgmt-powerbiembedded,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-netapp,1490791,https://pypi.org/project/azure-mgmt-netapp,N/A,Y,,Attr,Attr,,,,,,Yes
azure-multiapi-storage,1487345,https://pypi.org/project/azure-multiapi-storage,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-redhatopenshift,1486576,https://pypi.org/project/azure-mgmt-redhatopenshift,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-botservice,1476699,https://pypi.org/project/azure-mgmt-botservice,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-databoxedge,1463707,https://pypi.org/project/azure-mgmt-databoxedge,N/A,Y,,Attr,Attr,,,,,,Yes
azure-keyvault-administration,1456086,https://pypi.org/project/azure-keyvault-administration,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-imagebuilder,1454571,https://pypi.org/project/azure-mgmt-imagebuilder,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-extendedlocation,1453828,https://pypi.org/project/azure-mgmt-extendedlocation,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-servicefabricmanagedclusters,1450365,https://pypi.org/project/azure-mgmt-servicefabricmanagedclusters,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-appcontainers,1444082,https://pypi.org/project/azure-mgmt-appcontainers,N/A,Y,,Attr,Attr,,,,,,Yes
django-import-export,1431256,https://pypi.org/project/django-import-export,N/A,Y,,Attr,Attr,,import_django,,,,No
