Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason,Types,,Input,,,Status,Comment,New
azure-multiapi-storage,1487345,https://pypi.org/project/azure-multiapi-storage,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-redhatopenshift,1486576,https://pypi.org/project/azure-mgmt-redhatopenshift,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-botservice,1476699,https://pypi.org/project/azure-mgmt-botservice,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-databoxedge,1463707,https://pypi.org/project/azure-mgmt-databoxedge,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-keyvault-administration,1456086,https://pypi.org/project/azure-keyvault-administration,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-imagebuilder,1454571,https://pypi.org/project/azure-mgmt-imagebuilder,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-extendedlocation,1453828,https://pypi.org/project/azure-mgmt-extendedlocation,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-servicefabricmanagedclusters,1450365,https://pypi.org/project/azure-mgmt-servicefabricmanagedclusters,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-appcontainers,1444082,https://pypi.org/project/azure-mgmt-appcontainers,Y,N/A,,,Attr,Attr,,,,,,Yes
django-import-export,1431256,https://pypi.org/project/django-import-export,Y,N/A,,,Attr,Attr,,import_django,,,,No
azure-ai-ml,1407670,https://pypi.org/project/azure-ai-ml,Y,N/A,,,Attr,Attr,,,,,,Yes
dlt,1361515,https://pypi.org/project/dlt,Y,N/A,,,Attr/Field,Attr/Field,,import_streamlit,,,,No
dlt,1361515,https://pypi.org/project/dlt,Y,N/A,,,Attr/Field,Attr,,,,,,No
diracx-client,1350953,https://pypi.org/project/diracx-client,Y,N/A,,,Attr,Attr,,,,,,Yes
mediapipe,1301079,https://pypi.org/project/mediapipe,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-hybridcompute,1212218,https://pypi.org/project/azure-mgmt-hybridcompute,Y,N/A,,,Attr,Attr,,,,,,Yes
jsonargparse,1162237,https://pypi.org/project/jsonargparse,Y,N/A,,,Attr/Field,Attr/Field,,,,,,No
azure-mgmt-mysqlflexibleservers,1157621,https://pypi.org/project/azure-mgmt-mysqlflexibleservers,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-postgresqlflexibleservers,1146860,https://pypi.org/project/azure-mgmt-postgresqlflexibleservers,Y,N/A,,,Attr,Attr,,,,,,Yes
modelscope,1135783,https://pypi.org/project/modelscope,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_fastapi|import_starlette,,,,No
xsdata,1085469,https://pypi.org/project/xsdata,Y,N/A,,,Attr,Attr,,,,,,Yes
modal,1052508,https://pypi.org/project/modal,Y,N/A,,,Attr,Attr,,import_flask|import_aiohttp|.route|import_fastapi,,,,Yes
fixtures,1034136,https://pypi.org/project/fixtures,Y,N/A,,,Attr,Attr,,,,,,Yes
gluonts,963844,https://pypi.org/project/gluonts,Y,N/A,,,Attr,Attr,,import_pytorch_lightning|.route|import_flask,,,,No
panel,948801,https://pypi.org/project/panel,Y,N/A,,,Attr,Attr,,import_flask|import_fastapi|import_tornado,,,,No
optimum,895227,https://pypi.org/project/optimum,Y,N/A,,,Attr,Attr,,,,,,No
simple-parsing,816562,https://pypi.org/project/simple-parsing,Y,N/A,,,Attr,Attr,,,,,,Yes
model-bakery,816233,https://pypi.org/project/model-bakery,Y,N/A,,,Attr,Attr,,import_django,,,,Yes
azure-monitor-ingestion,781514,https://pypi.org/project/azure-monitor-ingestion,Y,N/A,,,Attr,Attr,,,,,,Yes
ariadne,774317,https://pypi.org/project/ariadne,Y,N/A,,,Attr,Attr,,import_starlette,,,,No
torchao,738632,https://pypi.org/project/torchao,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-kusto,709641,https://pypi.org/project/azure-mgmt-kusto,Y,N/A,,,Attr,Attr,,,,,,Yes
