Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
ibis,5365,https://github.com/ibis-project/ibis,Y,Y,,,Attr,Attr,,import_streamlit,,Todo,library: Config.set,
river,5109,https://github.com/online-ml/river,Y,Y,,,Attr,Attr,,,,,,
captum,4962,https://github.com/pytorch/captum,Y,Y,,,Attr,Attr,,import_flask|.route,,Todo,library: class NaiveInfluenceFunction.__init__ -> _retrieve_projections_naive_influence_function -> _compute_dataset_func -> _flatten_forward_factory -> _functional_call -> _custom_functional_call ->   _model_reinsert_params,
lark,4940,https://github.com/lark-parser/lark,Y,N,,attr name check,Attr,Attr/Field,,,,,,Yes
mergekit,4904,https://github.com/arcee-ai/mergekit,Y,N/A,,,Attr,Attr,,,,,,Yes
Red-DiscordBot,4846,https://github.com/Cog-Creators/Red-DiscordBot,Y,Y,,,Attr,Attr,Function,add_route|import_aiohttp,,,rsetattr,Yes
panel,4837,https://github.com/holoviz/panel,Y,N,,deep get is not observed,Attr,Attr,None,import_aiohttp|.get/.post/.api_route|import_flask|import_tornado|import_django|django_path|import_fastapi,,,,
gluonts,4663,https://github.com/awslabs/gluonts,Y,N,,type check,Attr,Attr,,import_flask|.route|import_pytorch_lightning,,,,
AutoGPTQ,4541,https://github.com/AutoGPTQ/AutoGPTQ,Y,Y,,,Attr,Attr,Function,,,,,
ms-swift,4503,https://github.com/modelscope/ms-swift,Y,Y,,duplicate @redacted,Attr/Field,Attr/Field,,import_fastapi|import_aiohttp|import_gradio,,,,No
coremltools,4462,https://github.com/apple/coremltools,Y,N,,MergeMessage in google protobuf implementation; the key to get and set was checked before operating,Attr/Field,Attr,,,,,,
coremltools,4462,https://github.com/apple/coremltools,Y,N,,MergeMessage in google protobuf implementation; the key to get and set was checked before operating,Attr,Attr,,,,,,
coremltools,4462,https://github.com/apple/coremltools,Y,N,,MergeMessage in google protobuf implementation; the key to get and set was checked before operating,Attr/Field,Attr,,,,,,
coremltools,4462,https://github.com/apple/coremltools,Y,N,,MergeMessage in google protobuf implementation; the key to get and set was checked before operating,Attr,Attr,,,,,,
neuralangelo,4413,https://github.com/NVlabs/neuralangelo,Y,N/A,,,Attr,Attr,,,,,,Yes
OpenPrompt,4388,https://github.com/thunlp/OpenPrompt,Y,N/A,,,Attr,Attr,,,,,,
datasets,4324,https://github.com/tensorflow/datasets,Y,N/A,,,Attr,Attr,,,,,,
zenml,4181,https://github.com/zenml-io/zenml,Y,N,,,N,N,,import_fastapi|.get/.post/.api_route|import_starlette|import_gradio,,,,
azure-cli-core,4071,https://github.com/Azure/azure-cli,Y,Y,,,Attr/Field,Attr/Field,Local,,,,,
imaginaire,4021,https://github.com/NVlabs/imaginaire,Y,N/A,,,Attr,Attr,,,,,,Yes
mm-cot,3823,https://github.com/amazon-science/mm-cot,Y,Y,,,Attr,Attr,Function,,,,,
DAMO-YOLO,3794,https://github.com/tinyvision/DAMO-YOLO,Y,N/A,,,Attr,Attr,,,,,,
ElegantRL,3769,https://github.com/AI4Finance-Foundation/ElegantRL,Y,N/A,,,Attr,Attr,,,,,,Yes
PINTO_model_zoo,3624,https://github.com/PINTO0309/PINTO_model_zoo,Y,Y,,,Attr,Attr,Function,,,,,
consensus-specs,3590,https://github.com/ethereum/consensus-specs,Y,N/A,,,Attr,Attr,,,,,,
Otter,3565,https://github.com/Luodian/Otter,Y,Y,,,Attr,Attr,Function,import_flask|.get/.post/.api_route|.route|import_gradio|import_fastapi,,,,
ai-toolkit,3550,https://github.com/ostris/ai-toolkit,Y,Y,,,Attr,Attr,Local,import_gradio,,Todo,"PureLoraGenerator.__init__(model_config) -> PureLoraGenerator.run() -> StableDiffusion.load_model -> load unet model from: model_config.name_or_path (https://github.com/ostris/ai-toolkit/blob/c12036df95c1c03dc0ed60823668287c329b9963/toolkit/stable_diffusion_model.py#L296, https://github.com/ostris/ai-toolkit/blob/c12036df95c1c03dc0ed60823668287c329b9963/toolkit/stable_diffusion_model.py#L985) -> unet module contains polluted key as its structure
PureLoraGenerator.run (self.sd.unet got from stable_diffusion init and load_model())-> convert_diffusers_unet_to_lorm  (unet) -> replace_module_by_path (unet as pollution key)
Remote trigger:
    summary: attacker have to control the module.name_or_path configuration which points to a malicious model contraining the chained path dict key, then trigger the vulnerable function `replace_module_by_path` through flux_train_ui gradio UI, the button at here:https://github.com/ostris/ai-toolkit/blob/main/jobs/ExtensionJob.py#L22

    gradio_uri training function: https://github.com/ostris/ai-toolkit/blob/main/flux_train_ui.py#L143
    have to control local configuration config['process'][0]['module']['name_or_path'] points to the malicious unet model: https://github.com/ostris/ai-toolkit/blob/main/flux_train_ui.py#L212
   then the run here will start PureLoraGeneration.run: https://github.com/ostris/ai-toolkit/blob/main/flux_train_ui.py#L230
   program gets the class through dynamic extention loading process: https://github.com/ostris/ai-toolkit/blob/main/flux_train_ui.py#L229
   The extension of PureLoraGeneration is included in the extension list: https://github.com/ostris/ai-toolkit/blob/c12036df95c1c03dc0ed60823668287c329b9963/extensions_built_in/advanced_generator/__init__.py#L58
    which is loaded in a  dynamic way here: https://github.com/ostris/ai-toolkit/blob/main/toolkit/extension.py#L41, https://github.com/ostris/ai-toolkit/blob/main/jobs/ExtensionJob.py#L13, and run here: https://github.com/ostris/ai-toolkit/blob/main/jobs/ExtensionJob.py#L22",
chartify,3541,https://github.com/spotify/chartify,Y,N/A,,lib,Attr,Attr,,,,,,
KoboldAI-Client,3535,https://github.com/KoboldAI/KoboldAI-Client,Y,N,,,N,N,,,,,,
Paints-UNDO,3535,https://github.com/lllyasviel/Paints-UNDO,Y,N/A,,model,Attr,Attr,,import_gradio,,,,
mmpretrain,3495,https://github.com/open-mmlab/mmpretrain,Y,N/A,,lib,Attr,Attr,,import_gradio,,,,
headphones,3431,https://github.com/rembo10/headphones,Y,N/A,,"lib meko, ast traverse",Attr,Attr,None,.route|import_cherrypy|import_tornado|django_path|import_flask,,,,
vispy,3344,https://github.com/vispy/vispy,Y,N/A,,lib,Attr,Attr,,,,,,
django-import-export,3100,https://github.com/django-import-export/django-import-export,Y,N,,require database table name and relation,Attr,Attr,Function,import_django,,,Class Field -> def save,
alpa,3083,https://github.com/alpa-projects/alpa,Y,Y,,,Attr,Attr,,import_fastapi|.route|.get/.post/.api_route|import_starlette,,,,
fastNLP,3073,https://github.com/fastnlp/fastNLP,Y,N/A,,lib,Attr,Attr,,,,,,
deepsparse,3041,https://github.com/neuralmagic/deepsparse,Y,N,,,N,N,,.get/.post/.api_route|import_streamlit|import_starlette|import_gradio|import_fastapi,,,,
docarray,2993,https://github.com/docarray/docarray,Y,N/A,,lib,Attr,Attr,,import_fastapi|.get/.post/.api_route,,,,
AI-Writer,2989,https://github.com/BlinkDL/AI-Writer,Y,Y,,,Attr,Attr,,,,,,
BlenderTools,2829,https://github.com/EpicGamesExt/BlenderTools,Y,Y,,,Attr,Attr,,,,,,
dlt,2764,https://github.com/dlt-hub/dlt,Y,N/A,,lib,Attr,Field,,import_streamlit,,,,
mars,2705,https://github.com/mars-project/mars,Y,N/A,,lib,Attr,Attr,,import_tornado,,,,
robusta,2648,https://github.com/robusta-dev/robusta,Y,Y,,,Attr/Field,Attr/Field,Function,import_flask|.route,,,,
deepdoctection,2619,https://github.com/deepdoctection/deepdoctection,Y,N/A,,lib,Attr,Attr,,,,,,
TensorRT,2610,https://github.com/pytorch/TensorRT,Y,N,,,N,N,,,,,,
optimum,2603,https://github.com/huggingface/optimum,Y,N/A,,lib,Attr,Attr,,,,,,
llm-awq,2567,https://github.com/mit-han-lab/llm-awq,Y,N/A,,lib,Attr,Attr,,import_fastapi|.get/.post/.api_route|import_gradio,,,,
virt-manager,2451,https://github.com/virt-manager/virt-manager,Y,N/A,,,Attr,Attr,,,,,,
django-unicorn,2434,https://github.com/adamghill/django-unicorn,Y,Y,,,Attr/Field,Attr/Field,Remote,import_django|django_re_path|django_path,,Assigned,,
OFA,2429,https://github.com/OFA-Sys/OFA,Y,Y,,,Attr,Attr,,,,,,
django-unicorn,2393,https://github.com/adamghill/django-unicorn,Y,Y,,duplicate,Attr,Attr,,,,,,
rl,2392,https://github.com/pytorch/rl,Y,N/A,,,Attr/Field,Attr,,,,,,
rl,2392,https://github.com/pytorch/rl,Y,N/A,,,Attr,Attr,,,,,,
JittorLLMs,2386,https://github.com/Jittor/JittorLLMs,Y,Y,,,Attr,Attr,,import_fastapi|.get/.post/.api_route|import_gradio,,,,
bevfusion,2380,https://github.com/mit-han-lab/bevfusion,Y,N/A,,,Attr/Field,Field,,,,,,Yes
bevfusion,2380,https://github.com/mit-han-lab/bevfusion,Y,N/A,,,Attr,Field,,,,,,Yes
lanenet-lane-detection,2377,https://github.com/MaybeShewill-CV/lanenet-lane-detection,Y,N/A,,,Attr/Field,Field,,,,,,Yes
lanenet-lane-detection,2377,https://github.com/MaybeShewill-CV/lanenet-lane-detection,Y,N/A,,,Attr,Field,,,,,,Yes
comfyui_controlnet_aux,2367,https://github.com/Fannovel16/comfyui_controlnet_aux,Y,N/A,,,Attr,Attr,,,,,local,
ansible-cmdb,2361,https://github.com/fboender/ansible-cmdb,Y,N/A,,,Attr,Attr,,,,,,
secretflow,2360,https://github.com/secretflow/secretflow,Y,N/A,,,Attr,Attr,,,,,,
IsaacLab,2358,https://github.com/isaac-sim/IsaacLab,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,
sverchok,2282,https://github.com/nortikin/sverchok,Y,Y,,,Attr/Field,Attr/Field,Local,,,Reported,,No
shuup,2258,https://github.com/shuup/shuup,Y,Y,,,Attr,Attr,Function,import_django,,,remote,
neural-compressor,2243,https://github.com/intel/neural-compressor,Y,N/A,,,Attr,Attr,,,,,,
lorax,2234,https://github.com/predibase/lorax,Y,Y,,,Attr,Attr,Function,import_aiohttp,,,"remote, key is uncontrollable",
ariadne,2228,https://github.com/mirumee/ariadne,Y,N,,,Attr,Attr,,import_starlette,,,remote,
aimet,2169,https://github.com/quic/aimet,Y,N/A,,,Attr,Attr,,,,,,Yes
Linly-Talker,2110,https://github.com/Kedreamix/Linly-Talker,Y,N/A,,,Attr,Attr,,import_fastapi|.get/.post/.api_route|import_gradio,,,,No
beanie,2092,https://github.com/BeanieODM/beanie,Y,N,,,N,N,,,,,,
wrapt,2085,https://github.com/GrahamDumpleton/wrapt,Y,N/A,,,Attr,Attr,,,,,library,
sparseml,2078,https://github.com/neuralmagic/sparseml,Y,N/A,,,Attr,Attr,,,,,,
omegaconf,1994,https://github.com/omry/omegaconf,Y,N,,,N,N,,,,,,
AliceMind,1983,https://github.com/alibaba/AliceMind,Y,Y,,,Attr,Attr,Function,import_tornado,,,,
rio,1978,https://github.com/rio-labs/rio,Y,N,,didn't find deep get pattern,Attr,Field,,import_fastapi|import_starlette,,,,Yes
transparent_latent_gan,1972,https://github.com/SummitKwan/transparent_latent_gan,Y,N/A,,,Attr,Attr,,,,,,
helm,1967,https://github.com/stanford-crfm/helm,Y,Y,,,Attr,Attr,Function,import_bottle|.get/.post/.api_route|import_pytorch_lightning,,,,
rekall,1933,https://github.com/google/rekall,Y,N,,prototyeObj label over-tainting,Attr/Field,Field,,,,,,
code,1929,https://github.com/ActiveState/code,Y,N/A,,,Attr/Field,Field,,add_handlers|import_hug|import_tornado|import_cherrypy|import_django,,,,Yes
code,1929,https://github.com/ActiveState/code,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
code,1929,https://github.com/ActiveState/code,Y,N/A,,,Attr,Field,,,,,,Yes
glom,1919,https://github.com/mahmoud/glom,Y,Y,,,Attr/Field,Attr/Field,Function,import_django,,Acknowledged,,
godot-python,1907,https://github.com/touilleMan/godot-python,Y,N/A,,,Attr,Attr,,,,,local,
OnmyojiAutoScript,1891,https://github.com/runhey/OnmyojiAutoScript,Y,Y,,,Attr,Attr,Function,import_fastapi|.get/.post/.api_route,,,,
mmaction,1864,https://github.com/open-mmlab/mmaction,Y,N/A,,,Attr,Attr,,,,,,Yes
evennia,1832,https://github.com/evennia/evennia,Y,Y,,,Attr,Attr,Function,import_django|django_path|.get/.post/.api_route,,,"remote, menu_setattr",
Medusa,1813,https://github.com/pymedusa/Medusa,Y,N,,ast,Attr,Attr,,add_handlers|@get/post/route|import_tornado|rule_instantiation|import_django,,,,
EasyRec,1810,https://github.com/alibaba/EasyRec,Y,N,,,N,N,,,,,,
AutoAWQ,1806,https://github.com/casper-hansen/AutoAWQ,Y,N/A,,,Attr,Attr,,,,,,
EasyCV,1805,https://github.com/alibaba/EasyCV,Y,N/A,,,Attr,Attr,,,,,,
PokemonGo-DesktopMap,1762,https://github.com/mchristopher/PokemonGo-DesktopMap,Y,N/A,,,Attr,Attr,,,,,remote,
Research,1720,https://github.com/PaddlePaddle/Research,Y,N,,"invoke __getattr__ when set, which is not implemented by default; the __getattr__ implemented can not reach to special attributes;",Attr/Field,Field,,import_flask|.route,,,SegConfig __setattr__,Yes
Research,1720,https://github.com/PaddlePaddle/Research,Y,N,,"invoke __getattr__ when set, which is not implemented by default; the __getattr__ implemented can not reach to special attributes;",Attr,Field,,.route|import_flask,,,SegConfig __setattr__,Yes
hangups,1714,https://github.com/tdryer/hangups,Y,N/A,,,Attr,Attr,,import_aiohttp,,,looks promising :>,
distilabel,1708,https://github.com/argilla-io/distilabel,Y,N/A,,,Attr,Attr,,,,,,
ormar,1681,https://github.com/collerek/ormar,Y,N,,type check,Attr,Attr,,import_fastapi|.get/.post/.api_route,,,library,
generative-ai-python,1665,https://github.com/google-gemini/generative-ai-python,Y,Y,,,Attr,Attr,,,,,client,
fast-transformers,1652,https://github.com/idiap/fast-transformers,Y,N/A,,,Attr,Attr,,,,,,
intel-extension-for-pytorch,1638,https://github.com/intel/intel-extension-for-pytorch,Y,N/A,,,Attr,Attr,,,,,,
ao,1638,https://github.com/pytorch/ao,Y,N/A,,,Attr,Attr,,import_fastapi|.get/.post/.api_route,,,,
Olive,1634,https://github.com/microsoft/Olive,Y,Y,,,Attr,Attr,,import_falcon|import_gradio,,Todo,lib: replace_submodules,
TransformerLens,1632,https://github.com/TransformerLensOrg/TransformerLens,Y,N/A,,,Attr,Attr,,,,,,
fixinventory,1625,https://github.com/someengineering/fixinventory,Y,Y,,,Attr/Field,Attr/Field,Function,(Fixed) Not sure why previous cannot found.,,,,
codeshell,1617,https://github.com/WisdomShell/codeshell,Y,N/A,,,Attr,Attr,,import_fastapi|.get/.post/.api_route|import_gradio,,,,
TimeSformer,1573,https://github.com/facebookresearch/TimeSformer,Y,N/A,,,Attr,Attr,,,,,,
interfacegan,1509,https://github.com/genforce/interfacegan,Y,N/A,,,Attr,Attr,,,,,,
glTF-Blender-IO,1503,https://github.com/KhronosGroup/glTF-Blender-IO,Y,N/A,,,Attr,Attr,,,,,,Yes
model-optimization,1499,https://github.com/tensorflow/model-optimization,Y,N/A,,,Attr,Attr,,,,,,Yes
mmrazor,1489,https://github.com/open-mmlab/mmrazor,Y,N/A,,,Attr,Attr,,,,,,
Multimodal-GPT,1478,https://github.com/open-mmlab/Multimodal-GPT,Y,N/A,,,Attr,Attr,,import_gradio,,,,
piccolo,1460,https://github.com/piccolo-orm/piccolo,Y,Y,,,Attr,Attr,Function,import_fastapi|.get/.post/.api_route,,,key is not under control,
OpenNMT-tf,1458,https://github.com/OpenNMT/OpenNMT-tf,Y,N/A,,,Attr/Field,Attr,,,,,,
