Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
FreeTakServer,695,https://github.com/FreeTAKTeam/FreeTakServer,Y,N/A,,,Attr,Attr,,.route|import_flask|@get/post/route,,,,Yes
FreeTakServer,695,https://github.com/FreeTAKTeam/FreeTakServer,Y,N/A,,,Attr,Attr,,.route|import_flask|@get/post/route,,,,Yes
GPTFast,689,https://github.com/MDK8888/GPTFast,Y,N/A,,,Attr,Attr,,,,,,Yes
GPTFast,689,https://github.com/MDK8888/GPTFast,Y,N/A,,,Attr,Attr,,,,,,Yes
veScale,684,https://github.com/volcengine/veScale,Y,N/A,,,Attr,Attr,,,,,,Yes
AI_Challenger_2018,682,https://github.com/AIChallenger/AI_Challenger_2018,Y,N/A,,,Attr,Attr,,,,,,Yes
AI_Challenger_2018,682,https://github.com/AIChallenger/AI_Challenger_2018,Y,N/A,,,Attr,Attr,,,,,,Yes
MOFA-Video,676,https://github.com/MyNiuuu/MOFA-Video,Y,N/A,,,Attr,Attr,,,,,,Yes
deepvac,670,https://github.com/DeepVAC/deepvac,Y,N/A,,,Attr,Attr,,,,,,Yes
deepvac,670,https://github.com/DeepVAC/deepvac,Y,N/A,,,Attr,Attr,,,,,,Yes
tauthon,670,https://github.com/naftaliharris/tauthon,Y,N/A,,,Attr,Attr,,,,,,Yes
hidet,664,https://github.com/hidet-org/hidet,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
starlette-admin,653,https://github.com/jowilf/starlette-admin,Y,N/A,,,Attr,Attr,,import_starlette,,,,Yes
Blenvy,646,https://github.com/kaosat-dev/Blenvy,Y,N/A,,,Attr,Attr,,,,,,Yes
mlx-vlm,645,https://github.com/Blaizzy/mlx-vlm,Y,N/A,,,Attr,Attr,,,,,,Yes
mlx-vlm,645,https://github.com/Blaizzy/mlx-vlm,Y,N/A,,,Attr,Attr,,,,,,Yes
MetaSpore,645,https://github.com/meta-soul/MetaSpore,Y,N,,"fn:setDefault,only for setting default value for attributes; if attr exists, not set;",,,,,,,,
TensorRT-Model-Optimizer,643,https://github.com/NVIDIA/TensorRT-Model-Optimizer,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
TensorRT-Model-Optimizer,643,https://github.com/NVIDIA/TensorRT-Model-Optimizer,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
StyleHEAT,640,https://github.com/OpenTalker/StyleHEAT,Y,N/A,,,Attr,Attr,,,,,,Yes
hera,633,https://github.com/argoproj-labs/hera,Y,N/A,,,Attr,Attr,,,,,,Yes
hera,633,https://github.com/argoproj-labs/hera,Y,N/A,,,Attr,Attr,,,,,,Yes
MASR,631,https://github.com/yeyupiaoling/MASR,Y,N/A,,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
parkour,629,https://github.com/ZiwenZhuang/parkour,Y,N/A,,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
parkour,629,https://github.com/ZiwenZhuang/parkour,Y,N/A,,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
hard-prompts-made-easy,623,https://github.com/YuxinWenRick/hard-prompts-made-easy,Y,N/A,,,Attr,Attr,,,,,,Yes
hard-prompts-made-easy,623,https://github.com/YuxinWenRick/hard-prompts-made-easy,Y,N/A,,,Attr,Attr,,,,,,Yes
extreme-parkour,620,https://github.com/chengxuxin/extreme-parkour,Y,N/A,,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
SceneDreamer,620,https://github.com/FrozenBurning/SceneDreamer,Y,N/A,,,Attr,Attr,,,,,,Yes
