repo_name,stars,url,Confirmed,CodeQL,FP Reason,GetType,SetType
flask-restplus-server-example,1341,https://github.com/frol/flask-restplus-server-example,N/A,Y,,Attr,Attr
mayavi,1323,https://github.com/enthought/mayavi,N/A,Y,,Attr,Attr
dnf,1258,https://github.com/rpm-software-management/dnf,N/A,Y,,Attr,Attr
pykka,1234,https://github.com/jodal/pykka,N/A,Y,,Attr,Attr
brevitas,1217,https://github.com/Xilinx/brevitas,N/A,Y,,Attr,Attr
teleport,1183,https://github.com/tp4a/teleport,N/A,Y,,Attr,Attr
chainerrl,1179,https://github.com/chainer/chainerrl,N/A,Y,,Attr,Attr
nut,1138,https://github.com/blawar/nut,N/A,Y,,Attr,Attr
spyne,1132,https://github.com/arskom/spyne,N/A,Y,,Attr,Attr
spyne,1132,https://github.com/arskom/spyne,N/A,Y,,Attr,Field
xorbits,1130,https://github.com/xorbitsai/xorbits,N/A,Y,,Attr,Attr
steam,1111,https://github.com/ValvePython/steam,N/A,Y,,Attr,Attr
fastapi-amis-admin,1100,https://github.com/amisadmin/fastapi-amis-admin,N/A,Y,,Attr,Attr
ComfyUI-CogVideoXWrapper,1094,https://github.com/kijai/ComfyUI-CogVideoXWrapper,N/A,Y,,Attr,Attr
noise2noise,1081,https://github.com/yu4u/noise2noise,N/A,Y,,Attr,Attr
seed-tts-eval,1068,https://github.com/BytedanceSpeech/seed-tts-eval,N/A,Y,,Attr,Attr
convmixer,1062,https://github.com/locuslab/convmixer,N/A,Y,,Attr,Attr
sentiment-discovery,1061,https://github.com/NVIDIA/sentiment-discovery,N/A,Y,,Attr,Attr
CrossHair,1038,https://github.com/pschanely/CrossHair,N/A,Y,,Attr,Attr
CrossHair,1038,https://github.com/pschanely/CrossHair,N/A,Y,,Attr,Field
evotorch,1024,https://github.com/nnaisense/evotorch,N/A,Y,,Attr,Attr
OpenDelta,1007,https://github.com/thunlp/OpenDelta,N/A,Y,,Attr,Attr
