Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
GPTFast,689,https://github.com/MDK8888/GPTFast,Y,N/A,set_nested_attr:GPTFast/Helpers/Class/set_nested_attr.py,,Attr,Attr,,,,,,Yes
GPTFast,689,https://github.com/MDK8888/GPTFast,Y,N/A,,,Attr,Attr,,,,,,Yes
veScale,684,https://github.com/volcengine/veScale,Y,N/A,"instrument:vescale/emulator/emulator_instrumentation.py,revert_instrument:vescale/emulator/emulator_instrumentation.py,__exit__:vescale/emulator/emulator_instrumentation.py",,Attr,Attr,,,,,,Yes
AI_Challenger_2018,682,https://github.com/AIChallenger/AI_Challenger_2018,Y,N/A,_update_generic:Baselines/autonomous_driving_perception208_baseline/detection/utils/config_util.py,,Attr,Attr,,,,,,Yes
AI_Challenger_2018,682,https://github.com/AIChallenger/AI_Challenger_2018,Y,N/A,,,Attr,Attr,,,,,,Yes
MOFA-Video,676,https://github.com/MyNiuuu/MOFA-Video,Y,N/A,"rsetattr:MOFA-Video-Hybrid/sadtalker_audio2pose/src/facerender/pirender/config.py,rsetattr:MOFA-Video-Hybrid/sadtalker_video2pose/src/facerender/pirender/config.py,rsetattr:MOFA-Video-Keypoint/sadtalker_audio2pose/src/facerender/pirender/config.py",,Attr,Attr,,import_gradio,,,,Yes
deepvac,670,https://github.com/DeepVAC/deepvac,Y,N/A,set_module:deepvac/cast/cast_helper.py,,Attr,Attr,,,,,,Yes
deepvac,670,https://github.com/DeepVAC/deepvac,Y,N/A,,,Attr,Attr,,,,,,Yes
tauthon,670,https://github.com/naftaliharris/tauthon,Y,N/A,,,Attr,Attr,,,,,,Yes
hidet,664,https://github.com/hidet-org/hidet,Y,N/A,iter_fields:python/hidet/utils/model_translator/convert.py,,Attr,Attr,,import_flask|import_flask_restful|.route,,,,Yes
starlette-admin,653,https://github.com/jowilf/starlette-admin,Y,N/A,extract_fields:starlette_admin/helpers.py,,Attr,Attr,,import_starlette,,,,Yes
Blenvy,646,https://github.com/kaosat-dev/Blenvy,Y,N/A,property_group_value_from_custom_property_value:tools/blenvy/add_ons/bevy_components/propGroups/conversions_to_prop_group.py,,Attr,Attr,,,,,,Yes
mlx-vlm,645,https://github.com/Blaizzy/mlx-vlm,Y,N/A,set_module_by_name:mlx_vlm/trainer/utils.py,,Attr,Attr,,import_fastapi|.get/.post/.api_route|import_gradio,,,,Yes
mlx-vlm,645,https://github.com/Blaizzy/mlx-vlm,Y,N/A,,,Attr,Attr,,,,,,Yes
MetaSpore,645,https://github.com/meta-soul/MetaSpore,Y,N,,"fn:setDefault,only for setting default value for attributes; if attr exists, not set;",,,,,,,,
TensorRT-Model-Optimizer,643,https://github.com/NVIDIA/TensorRT-Model-Optimizer,Y,N/A,replace_module:examples/diffusers/cache_diffusion/cache_diffusion/utils.py,,Attr,Attr,,import_fastapi|.get/.post/.api_route,,,,Yes
TensorRT-Model-Optimizer,643,https://github.com/NVIDIA/TensorRT-Model-Optimizer,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
StyleHEAT,640,https://github.com/OpenTalker/StyleHEAT,Y,N/A,rsetattr:configs/config.py,,Attr,Attr,,,,,,Yes
hera,633,https://github.com/argoproj-labs/hera,Y,N/A,_set_model_attr:src/hera/workflows/_meta_mixins.py,,Attr,Attr,,,,,,Yes
hera,633,https://github.com/argoproj-labs/hera,Y,N/A,,,Attr,Attr,,,,,,Yes
MASR,631,https://github.com/yeyupiaoling/MASR,Y,N/A,__init__:masr/trainer.py,,Attr,Attr,,import_fastapi|import_starlette|.get/.post/.api_route,,,,Yes
parkour,629,https://github.com/ZiwenZhuang/parkour,Y,N/A,update_class_from_dict:legged_gym/legged_gym/utils/helpers.py,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
parkour,629,https://github.com/ZiwenZhuang/parkour,Y,N/A,,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
hard-prompts-made-easy,623,https://github.com/YuxinWenRick/hard-prompts-made-easy,Y,N/A,,,Attr,Attr,,,,,,Yes
hard-prompts-made-easy,623,https://github.com/YuxinWenRick/hard-prompts-made-easy,Y,N/A,,,Attr,Attr,,,,,,Yes
extreme-parkour,620,https://github.com/chengxuxin/extreme-parkour,Y,N/A,update_class_from_dict:legged_gym/legged_gym/utils/helpers.py,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
SceneDreamer,620,https://github.com/FrozenBurning/SceneDreamer,Y,N/A,rsetattr:imaginaire/config.py,,Attr,Attr,,import_gradio,,,,Yes
extreme-parkour,620,https://github.com/chengxuxin/extreme-parkour,Y,N/A,,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
humanplus,613,https://github.com/MarkFzp/humanplus,Y,N/A,update_class_from_dict:HST/legged_gym/legged_gym/utils/helpers.py,,Attr,Attr,,,,,,Yes
humanplus,613,https://github.com/MarkFzp/humanplus,Y,N/A,,,Attr,Attr,,,,,,Yes
sbi,611,https://github.com/sbi-dev/sbi,Y,N,,obj.__dict__.items() to avoid traversing prototype.,N,N,,,,,,
3D-Diffusion-Policy,610,https://github.com/YanjieZe/3D-Diffusion-Policy,Y,N/A,recursive_setattr:third_party/dexart-release/stable_baselines3/common/save_util.py,,Attr,Attr,,import_flask|.route,,,,Yes
blrec,609,https://github.com/acgnhiki/blrec,Y,N/A,overwrite_settings:src/blrec/setting/helpers.py,,Attr,Attr,,import_fastapi|import_starlette|import_aiohttp|.get/.post/.api_route,,,,Yes
blrec,609,https://github.com/acgnhiki/blrec,Y,N/A,,,Attr,Attr,,import_aiohttp|import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
jupyter-ros,595,https://github.com/RoboStack/jupyter-ros,Y,N/A,"rsetattr:jupyros/ros2/ros_widgets.py,__thread_target:jupyros/ros2/publisher.py,widget_dict_to_msg:jupyros/ros1/ros_widgets.py",,Attr,Attr,,,,,,Yes
jupyter-ros,595,https://github.com/RoboStack/jupyter-ros,Y,N/A,,,Attr,Attr,,,,,,Yes
NonDeepNetworks,586,https://github.com/imankgoyal/NonDeepNetworks,Y,N/A,set_layer:imagenet/timm/models/helpers.py,,Attr,Attr,,,,,,Yes
pyobjc,584,https://github.com/ronaldoussoren/pyobjc,Y,N/A,"set:pyobjc-core/PyObjCTest/test_bridgesupport.py,setKeyPath:pyobjc-core/Lib/PyObjCTools/KeyValueCoding.py",,Attr,Attr,,,,,,Yes
pyobjc,584,https://github.com/ronaldoussoren/pyobjc,Y,N/A,,,Attr,Attr/Field,,,,,,Yes
SillyTavern-Extras,576,https://github.com/SillyTavern/SillyTavern-Extras,Y,N/A,"_set_module_by_path:modules/voice_conversion/fairseq/trainer.py,lambda:modules/voice_conversion/fairseq/modules/quantization/pq/utils.py,resolve_attr:modules/voice_conversion/fairseq/modules/quantization/pq/utils.py",,Attr,Attr,,import_flask|dot_add_url_rule|.route,,,,Yes
SillyTavern-Extras,576,https://github.com/SillyTavern/SillyTavern-Extras,Y,N/A,,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
BiomedGPT,576,https://github.com/taokz/BiomedGPT,Y,N/A,"_set_module_by_path:fairseq/fairseq/trainer.py,_set_module_by_path:trainer.py,lambda:fairseq/fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq/fairseq/modules/quantization/pq/utils.py",,Attr,Attr,,,,,,Yes
see,575,https://github.com/Bartzi/see,Y,N/A,adjust_attributes:chainer/utils/baby_step_curriculum.py,,Attr,Attr,,,,,,Yes
see,575,https://github.com/Bartzi/see,Y,N/A,,,Attr,Attr,,,,,,Yes
phillip,565,https://github.com/vladfi1/phillip,Y,P,setPath:phillip/fields.py,,Attr,Attr,,import_bottle|.get/.post/.api_route,,,,
