project_name,num_downloads
docopt,161939964
pydeequ,161081457
opt-einsum,160359150
makefun,160111233
pip-tools,159885936
universal-pathlib,159625887
apache-beam,159207681
kafka-python,159180220
unidecode,158961916
grpcio-health-checking,158268571
pydantic-settings,158099025
triton,157850383
amqp,157710196
time-machine,157516356
apispec,157282981
graphviz,157051218
uv,156471704
delta-spark,156083477
pipenv,155604323
marshmallow-oneofschema,155584601
imbalanced-learn,155563769
google-cloud-audit-log,155297421
sphinxcontrib-jsmath,155104325
azure-mgmt-containerregistry,154177468
libcst,153511649
astunparse,153472930
trio-websocket,152835581
kombu,152359371
azure-nspkg,151741114
databricks-sdk,151623278
datasets,151420203
brotli,150907134
authlib,150723689
pywin32,150622032
flask-sqlalchemy,150441286
nvidia-nccl-cu12,150334915
celery,149787487
avro-python3,149648647
flask-session,149596530
pywavelets,149577451
azure-cosmos,148170550
moto,147883133
analytics-python,147630780
dbt-core,147402120
opentelemetry-instrumentation,147160418
vine,145586147
editables,145392772
ecdsa,145342513
jsonpickle,145216420
google-cloud-firestore,144215067
simple-salesforce,143689549
watchtower,143663828
zope-event,143642873
flask-login,142709301
google-cloud-dataproc,142547695
backports-tarfile,142488239
cachelib,142017182
opencensus,141192077
billiard,140829293
ijson,139744410
pytest-metadata,139118937
nvidia-nvjitlink-cu12,138806539
sqlalchemy-utils,138218941
configparser,137859253
pybind11,137009949
tldextract,136860612
readme-renderer,136532555
google-cloud-monitoring,136227040
flask-cors,136165806
azure-storage-common,135914284
google-cloud-kms,135655539
google-cloud-vision,134667450
tensorflow-io-gcs-filesystem,134273816
nvidia-cudnn-cu12,133762437
aniso8601,133621032
evergreen-py,133445998
looker-sdk,133425181
langchain-community,133411690
opencensus-context,133005012
mashumaro,132798304
nvidia-cublas-cu12,132355955
mypy-boto3-rds,132000305
azure-keyvault-keys,131987012
invoke,131889246
nh3,131680622
twine,131571614
gspread,131279944
ddtrace,131025589
wtforms,130912141
spacy,130772654
azure-mgmt-compute,130746894
pkce,130707721
google-cloud-spanner,130493135
libclang,130389476
google-cloud-dlp,129951951
mypy-boto3-s3,129210502
ninja,129082071
azure-graphrbac,128061958
nvidia-cuda-nvrtc-cu12,128025708
humanize,127776872
nvidia-cuda-runtime-cu12,127722087
nvidia-cusparse-cu12,127543220
google-cloud-container,127529447
azure-mgmt-authorization,127485563
nvidia-cuda-cupti-cu12,127405006
azure-mgmt-cosmosdb,127350982
nvidia-cufft-cu12,127225874
dask,126727107
opencensus-ext-azure,126610133
azure-mgmt-keyvault,126601912
db-contrib-tool,126066016
aws-sam-translator,125986823
nvidia-curand-cu12,125748679
omegaconf,125723333
datetime,125708692
google-cloud-tasks,125256485
nvidia-cusolver-cu12,125096823
azure-keyvault,124895032
pyathena,124815822
nvidia-nvtx-cu12,123839213
tensorflow-serving-api,123467539
google-cloud-datacatalog,122524273
typing,122520733
pyproject-api,122470956
boto3-stubs,122417063
hpack,122411813
pycountry,122175721
h2,122086327
gsutil,122052715
pysftp,121700618
parameterized,121475561
querystring-parser,121380656
apache-airflow-providers-snowflake,121164111
google-cloud-bigtable,120980143
google-cloud-bigquery-datatransfer,120522651
hyperframe,120248377
applicationinsights,120056725
configupdater,119832589
azure-mgmt-network,119435687
click-repl,119049957
types-protobuf,118787260
azure-cli,118475452
jira,118376914
pytimeparse,118176956
python-jose,118143904
funcsigs,117988099
botocore-stubs,117213944
marshmallow-sqlalchemy,117158825
opentelemetry-util-http,117079159
bitarray,116861516
djangorestframework,116547200
google-ads,116448471
flask-limiter,116424332
langsmith,116328167
types-pytz,116163735
pytest-timeout,115887641
azure-storage-queue,115438306
click-didyoumean,115308866
google-cloud-build,115100597
thinc,115070549
nose,115039064
flask-jwt-extended,114961521
catalogue,114578835
sqlalchemy-jsonfield,114496248
commonmark,114355439
python-magic,114175494
wasabi,113971580
python-gnupg,113945752
cfn-lint,113782159
srsly,113404353
preshed,113036871
fasteners,112768352
pytest-html,112385443
cymem,112145084
ml-dtypes,111985646
blis,111763082
uc-micro-py,111711652
google-cloud-language,111492987
types-setuptools,111411756
stevedore,111321539
google-cloud-workflows,111320879
pathlib2,111257430
murmurhash,111185128
google-cloud-redis,111169939
google-cloud-videointelligence,110993626
agate,110111360
google-cloud-automl,110078770
validators,109929941
graphene,109812126
requests-mock,109407722
boto,109192891
apache-airflow-providers-google,108899352
azure-servicebus,108700866
azure-batch,108686308
google-cloud-dataplex,108619122
lightgbm,108243247
apache-airflow-providers-http,107716183
apache-airflow-providers-ssh,107563490
pycrypto,107550171
azure-mgmt-containerinstance,107387080
texttable,107358824
google-cloud-os-login,107322870
pyproj,107314808
azure-mgmt-sql,107285334
pypdf2,107234265
parsedatetime,107211809
jiter,106964057
azure-mgmt-containerservice,106790757
azure-mgmt-web,106723533
graphql-relay,106623652
types-awscrt,106590992
apache-airflow-providers-databricks,106412335
sh,105425821
fastapi-cli,104924888
google-cloud-translate,104562704
apscheduler,104522023
azure-mgmt-monitor,104384848
google-cloud-memcache,104301281
mysqlclient,103527250
azure-data-tables,102952509
mlflow-skinny,102893886
bytecode,102704810
sendgrid,102450851
cinemagoer,102127601
limits,101973316
jpype1,101701982
python-gitlab,101323867
google-cloud-compute,101269684
envier,101257325
yapf,101020543
yamllint,101014130
google-cloud-dataproc-metastore,100936461
jsondiff,100679551
cron-descriptor,100535867
astor,99934254
avro,99849679
python-http-client,99785513
google-cloud-orchestration-airflow,99715982
sqlalchemy-bigquery,99533190
types-s3transfer,99440008
enum34,99317347
pytest-rerunfailures,99244891
langcodes,99218447
cmake,99004663
imdbpy,98867418
google-cloud-speech,98656100
azure-kusto-data,98513074
dateparser,98221079
gcloud-aio-auth,98214710
types-urllib3,97956283
accelerate,97845172
cramjam,97551772
onnxruntime,97509847
azure-mgmt-msi,96936736
fabric,96669189
google-cloud-texttospeech,96404862
azure-mgmt-servicebus,96375461
azure-cli-core,96220840
azure-mgmt-redis,96214772
elastic-transport,95927943
knack,95921444
azure-mgmt-rdbms,95919245
gcloud-aio-storage,95758778
levenshtein,95717537
spacy-legacy,95562847
spacy-loggers,95437208
fire,95083225
azure-storage-file-share,94546284
pyserial,94451507
google-cloud-dataform,94314981
holidays,94033875
azure-mgmt-datafactory,94027670
psycopg,93502767
apache-airflow-providers-mysql,93335275
dacite,92944759
ratelimit,92780416
parse,92733018
apache-airflow-providers-cncf-kubernetes,92508071
scp,92403969
pydot,92141970
confection,91913876
cssselect,91413784
unicodecsv,91171051
polars,91051523
azure-mgmt-dns,90844067
orbax-checkpoint,90809168
lark,90759509
tifffile,90614117
mergedeep,90433073
azure-mgmt-iothub,90423180
azure-mgmt-nspkg,89897122
typed-ast,89500229
pyspnego,89442922
py-cpuinfo,89273586
azure-mgmt-datalake-store,89221029
azure-mgmt-recoveryservices,88967201
office365-rest-python-client,88833585
azure-mgmt-devtestlabs,88497096
pyroaring,88464946
azure-mgmt-batch,88400216
leather,88275092
gcloud-aio-bigquery,88164083
phonenumbers,88043586
clickclick,88026956
resolvelib,87877340
dbt-extractor,87590549
shap,87406592
ipython-genutils,86586521
futures,86542660
asyncpg,86506659
protobuf3-to-dict,86302197
azure-mgmt-signalr,85851663
azure-mgmt-cdn,85746871
fuzzywuzzy,85590551
datadog-api-client,85277414
iso8601,85201815
hyperlink,85131609
azure-mgmt-recoveryservicesbackup,84930664
frozendict,84887289
jaydebeapi,84640084
fastparquet,84421127
azure-mgmt-loganalytics,84412949
lazy-loader,84399426
tensorflow-text,84330729
azure-mgmt-trafficmanager,84115835
flit-core,84107241
azure-mgmt-eventhub,84105246
tensorstore,83884828
cligj,83874622
jupyter-console,83829639
pep517,83778522
inflect,83678561
openapi-spec-validator,83529200
grpcio-gcp,83473583
azure-mgmt-managementgroups,83458282
azure-mgmt-cognitiveservices,83423287
jupyter,83119238
aws-xray-sdk,83024392
azure-mgmt-marketplaceordering,82754126
azure-mgmt-datalake-nspkg,82698495
diskcache,82650812
azure-mgmt-search,82540189
azure-synapse-artifacts,82285922
nvidia-cublas-cu11,81977039
mypy-boto3-appflow,81958477
partd,81934655
netaddr,81806493
ansible,81340955
gradio,80964113
azure-mgmt-applicationinsights,80890537
sphinx-rtd-theme,80846349
flask-babel,80664462
slicer,80647810
geopandas,80509279
prison,80478155
aliyun-python-sdk-core,80379798
azure-mgmt-advisor,79663244
azure-mgmt-servicefabric,78690800
nvidia-cudnn-cu11,78517854
azure-mgmt-eventgrid,78490559
azure-mgmt-media,78461476
opentelemetry-instrumentation-requests,78449019
azure-mgmt-billing,78345775
locket,77981329
azure-appconfiguration,77922283
ansible-core,77658638
ddsketch,77533416
azure-mgmt-iothubprovisioningservices,77479321
azure-mgmt-policyinsights,77303085
azure-mgmt-datamigration,77192022
einops,77083564
azure-mgmt-maps,77081979
python-levenshtein,77025815
azure-mgmt-iotcentral,76861748
pypdf,76816733
crcmod,76643658
ndg-httpsclient,76568604
django-cors-headers,76491337
mmh3,76320850
kfp,76075577
azure-mgmt-batchai,75919545
opencv-python-headless,75824200
azure-keyvault-certificates,75473918
junitparser,75134822
nvidia-cuda-runtime-cu11,75118530
nvidia-cuda-nvrtc-cu11,75054047
maxminddb,74863314
azure-multiapi-storage,74852272
incremental,74599473
durationpy,74518447
langchain-text-splitters,74511987
opentelemetry-instrumentation-asgi,74426830
starkbank-ecdsa,73991385
apache-airflow-providers-ftp,73819254
cloudpathlib,73123638
dbt-semantic-interfaces,72998466
junit-xml,72784146
geoip2,72675382
apache-airflow-providers-sqlite,72424977
waitress,71749254
python-docx,71722258
pytorch-lightning,71394015
pyotp,71343005
azure-cli-telemetry,71194772
inject,70365040
opentelemetry-instrumentation-fastapi,70076854
oracledb,70020640
azure-mgmt-security,69840580
bracex,69826117
torchmetrics,69718185
streamlit,69424113
xarray,69295604
pyarrow-hotfix,69273975
statsd,69202658
onnx,69188223
slackclient,69160720
pyee,69083330
pipx,68777208
google-cloud-dataflow-client,68546030
awscrt,68295670
azure-synapse-spark,68290225
azure-mgmt-apimanagement,68236197
strenum,68026042
azure-eventhub,67895812
pyhcl,67831086
geographiclib,67826614
fiona,67825653
pydash,67772415
twisted,67769258
methodtools,67528748
marshmallow-enum,67433874
userpath,67295340
logbook,67138759
javaproperties,67022768
geopy,66928633
keras-applications,66468728
azure-mgmt-hdinsight,66385335
configargparse,66197071
autopep8,66129818
azure-mgmt-datalake-analytics,65994783
azure-loganalytics,65970112
azure-mgmt-databoxedge,65955688
natsort,65912656
azure-mgmt-redhatopenshift,65823221
types-redis,65764496
openapi-schema-validator,65523460
ua-parser,65430571
pika,65354596
pydub,65326676
tableauserverclient,65256757
setuptools-rust,65058841
reportlab,64901245
timm,64869733
wirerope,64655543
django-filter,64610885
sklearn,64440599
pywin32-ctypes,64236002
passlib,64173998
lightning-utilities,64053037
pytest-forked,63724230
apache-airflow-providers-fab,63358004
pathy,63299494
apache-airflow-providers-imap,63258900
duckdb,63245100
azure-keyvault-administration,63032417
azure-mgmt-consumption,62906688
azure-mgmt-netapp,62896475
gym-notices,62871668
mkdocs-material,62793533
magicattr,62792545
azure-mgmt-appconfiguration,62785591
constantly,62573672
azure-mgmt-imagebuilder,62451540
azure-mgmt-privatedns,62358574
aws-lambda-powertools,62350239
azure-mgmt-relay,62342774
azure-mgmt-kusto,62188011
psycopg-binary,62120523
kubernetes-asyncio,62099782
pathlib,62053725
checkov,61906641
webob,61896583
torchaudio,61746507
apache-airflow-providers-amazon,61720758
sentence-transformers,61697168
ftfy,61695753
mypy-boto3-redshift-data,61635614
pydocstyle,61632945
automat,61615814
tensorboard-plugin-wit,61418146
google-cloud-batch,61401808
ipaddress,61381692
cytoolz,61272273
requests-ntlm,61002062
marisa-trie,60984177
pyright,60965224
azure-mgmt-synapse,60819068
azure-mgmt-reservations,60723280
gql,60715479
azure-mgmt-servicefabricmanagedclusters,60595365
azure-devops,60446571
azure-mgmt-botservice,60198615
uamqp,60006456
azure-synapse-managedprivateendpoints,59889093
qtconsole,59763591
google-cloud,59749353
asyncio,59663816
factory-boy,59615307
bandit,59538081
jax,59418532
aiosqlite,59328678
ldap3,59223616
pymdown-extensions,59220064
qtpy,59182035
azure-synapse-accesscontrol,59107284
azure-mgmt-servicelinker,58962171
google-cloud-storage-transfer,58829047
google-cloud-run,58458805
azure-mgmt-sqlvirtualmachine,58208150
boltons,58032315
language-data,57779425
eth-hash,57585497
minimal-snowplow-tracker,57440017
distributed,57423525
jellyfish,57328972
elasticsearch-dsl,57293665
apache-airflow-providers-common-io,57269737
constructs,57241606
azure-mgmt-managedservices,57175414
apache-flink,57171145
wcmatch,57162419
azure-mgmt-extendedlocation,57145506
cerberus,57141237
pemja,57049862
apache-airflow-providers-slack,56811025
faiss-cpu,56786804
apache-flink-libraries,56673059
azureml-core,56582653
dpath,56554805
pandas-stubs,56483540
chex,56409060
parsimonious,56382175
keyrings-google-artifactregistry-auth,56326431
ray,56121316
sphinxcontrib-jquery,56117425
emoji,56115436
h3,56029888
gradio-client,55894165
gensim,55848948
numexpr,55848089
keras-preprocessing,55675919
narwhals,55563548
eth-utils,54956399
pdfminer-six,54897191
bottle,54821955
stripe,54353312
pytest-django,54190594
bokeh,54071733
pydeck,53865000
prometheus-flask-exporter,53696671
trino,53572588
stringcase,53410430
adlfs,53349025
pyaml,53328395
swagger-ui-bundle,53192521
pycares,53150742
pytest-split,52682824
eth-typing,52655658
aws-psycopg2,52617277
playwright,52541141
webdriver-manager,52508002
urllib3-secure-extra,52414606
pytz-deprecation-shim,52223617
hiredis,52209618
azure-kusto-ingest,52159262
twilio,51914291
hdfs,51880148
mkdocs,51710984
atomicwrites,51690185
apache-airflow-providers-smtp,51538305
sqlalchemy-redshift,51331456
service-identity,51137394
langchain-openai,50785146
jsonlines,50540625
sqlalchemy-spanner,50427173
yappi,50376919
pyperclip,50297449
weasel,50260788
pgpy,50260727
toposort,50234883
convertdate,50213326
django-extensions,50120713
cssselect2,50007430
tomli-w,49802157
bidict,49610207
dbt-adapters,49467984
kfp-pipeline-spec,49432041
python-nvd3,49225036
eth-account,49145426
spark-nlp,49091822
pyrfc3339,49078859
nbclassic,49016268
multimethod,48865162
pyelftools,48822074
async-generator,48787182
sqlglot,48767166
strictyaml,48650383
weaviate-client,48624551
opentelemetry-instrumentation-wsgi,48597551
binaryornot,48513159
azure-cosmosdb-table,48487774
rdflib,48405594
aiodns,48372087
langdetect,48257309
dbt-common,48243738
blessed,48023606
cx-oracle,47955021
cookiecutter,47758066
cog,47690580
google,47517955
ciso8601,47341825
oldest-supported-numpy,47275032
xyzservices,47240137
cloudevents,47138410
xlwt,47073230
tensorflow-metadata,47027942
jsonref,46821439
aiohttp-retry,46819497
azure-cosmosdb-nspkg,46648598
scandir,46539940
korean-lunar-calendar,46517671
teradatasql,46507995
mypy-protobuf,46383265
msgspec,46373260
events,46205878
ultralytics,46154682
pymupdf,45904857
eth-abi,45774104
firebase-admin,45741963
addict,45707085
parse-type,45697523
qrcode,45682091
deltalake,45680275
ghp-import,45430130
fs,45318425
grpc-interceptor,45307149
immutabledict,45289994
json-merge-patch,45257978
django-storages,45182627
filetype,45129869
pytest-env,45098919
ipdb,45035987
cohere,44742253
dbt-snowflake,44530183
pyyaml-env-tag,44462568
soundfile,44151832
shortuuid,44143724
pytest-randomly,44088816
jaxlib,43706013
astronomer-cosmos,43470722
feedparser,43427647
python-decouple,43352134
orderedmultidict,43199070
python-jenkins,43187587
optax,43111420
types-pyopenssl,43023729
configobj,42768690
dm-tree,42729614
pandera,42533884
atlassian-python-api,42507986
tokenize-rt,42453859
langchain-google-vertexai,42432505
pymeeus,42201772
diff-cover,41917964
python-socketio,41908288
python3-openid,41870152
python-engineio,41750800
unittest-xml-reporting,41647748
mypy-boto3-dynamodb,41631207
azure-mgmt-deploymentmanager,41581082
types-toml,41443612
expiringdict,41406945
mypy-boto3-glue,40923304
zope-deprecation,40835487
pyhumps,40799247
functions-framework,40777086
opentelemetry-instrumentation-flask,40727301
kfp-server-api,40696541
cfn-flip,40595528
mkdocs-material-extensions,40463634
py-partiql-parser,40399787
peewee,40347718
elementpath,40326752
dash,40155864
snowflake-snowpark-python,40014809
smbprotocol,39921663
grpcio-reflection,39916939
click-option-group,39902350
mypy-boto3-sqs,39808777
aioresponses,39757732
appnope,39746586
launchdarkly-server-sdk,39635872
w3lib,39546972
asyncssh,39545437
google-cloud-datastore,39503486
rich-click,39454234
opentelemetry-instrumentation-dbapi,39422778
albumentations,39320462
pathable,39224164
posthog,38887827
pooch,38884501
user-agents,38608080
chroma-hnswlib,38558695
pathlib-abc,38529540
python-telegram-bot,38408739
python-box,38370128
hydra-core,38273553
pipdeptree,38268042
voluptuous,38218726
mypy-boto3-lambda,38115937
schedule,38104904
optree,38020974
uuid,37950293
django-redis,37932617
mypy-boto3-secretsmanager,37753315
pastedeploy,37676026
types-paramiko,37656593
opentelemetry-instrumentation-urllib3,37599845
azure-functions,37516185
python-editor,37516097
opencensus-ext-logging,37413364
pymsteams,37378118
flower,37349100
geventhttpclient,37344653
google-analytics-admin,37293715
cmdstanpy,37195259
eventlet,37172649
jsii,37149948
opentelemetry-instrumentation-urllib,37145334
kaleido,37081683
flake8-bugbear,37035755
openlineage-integration-common,36986913
promise,36980465
whitenoise,36914192
